"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","1.545004","0","2"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","100","100","1","664.283813","0","100"
"/Game/AdvancedLocomotionV4/Environment/Materials/M_Grid_Background.M_Grid_Background","0","5","6","1","4.739780","0","6"
"/Game/AdvancedLocomotionV4/Props/Materials/Rifles/M_Rifle_VertexColor.M_Rifle_VertexColor","0","36","36","1","27.885426","0","36"
"/Game/AdvancedLocomotionV4/Props/Materials/C8/C8_Master_Material.C8_Master_Material","0","36","36","1","29.848970","0","36"
"/Game/AdvancedLocomotionV4/Props/Materials/Loot/M_Scissors.M_Scissors","0","12","12","1","10.505259","0","12"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","16","18","1","16.817438","0","18"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","2.168285","0","3"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","1.047676","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","4.204153","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","5.730724","0","5"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.181555","0","2"
"/Game/Game/Materials/M_Trail.M_Trail","0","15","15","1","10.717244","0","15"
"/Game/AdvancedLocomotionV4/Props/Materials/Pistols/M_P-018_Material.M_P-018_Material","0","36","36","1","29.061893","0","36"
"/Game/Game/Materials/Props/FXBullet_Material.FXBullet_Material","0","24","24","1","21.545198","0","24"
"/Game/Game/Materials/M_PP_UnderwaterEffect.M_PP_UnderwaterEffect","0","5","5","1","2.526839","0","5"
"/Game/Game/Materials/M_PojectilePath.M_PojectilePath","0","25","25","1","15.382183","0","25"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","25","27","1","24.810249","0","27"
"","0","1","0","1","0.000000","18","0"
"/Engine/MapTemplates/Materials/BasicAsset01.BasicAsset01","0","45","45","1","37.842167","0","45"
"/Game/AdvancedLocomotionV4/Props/Materials/Other/M_Prop_Rope_Material.M_Prop_Rope_Material","0","45","48","1","43.003380","0","48"
"/Game/AdvancedLocomotionV4/CharacterAssets/MannequinSkeleton/Materials/M_AnimMan_Default.M_AnimMan_Default","0","127","137","1","179.836014","0","137"
"/Game/Game/Materials/UI/M_GrenadeWarning_UI.M_GrenadeWarning_UI","0","13","13","1","7.708485","0","13"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","349","364","6","1820.264282","0","364"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","45","48","1","53.364487","0","48"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","36","36","1","34.749405","0","36"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","87","87","1","93.372963","0","87"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","27","29","1","31.730255","0","29"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","135","150","6","142.454681","0","150"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","9","1","7.428686","0","9"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","60","63","1","66.884071","0","63"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","46","2","54.040127","0","46"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","45.673603","0","50"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","10.376524","0","10"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","7.241927","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","25","27","1","23.289473","0","27"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","25","27","1","25.094044","0","27"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","8.178757","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","13","13","1","8.131559","0","13"
"/Game/Game/Materials/UI/M_LootItem_IcnoMat.M_LootItem_IcnoMat","0","13","13","1","7.140444","0","13"
"/Game/AdvancedLocomotionV4/Props/Meshes/Flashlight/M_Flashlight.M_Flashlight","0","12","12","1","13.687966","0","12"
"/Game/Game/Materials/M_debris_SUB.M_debris_SUB","0","54","54","1","54.120159","0","54"
"/Game/AdvancedLocomotionV4/Props/Meshes/Pickaxe/M_Pickaxe.M_Pickaxe","0","13","14","1","15.886295","0","14"
"/Game/Game/Materials/Props/Decal_Hole_Master.Decal_Hole_Master","0","21","21","1","24.538528","0","21"
"/Game/Game/Materials/M_Ember.M_Ember","0","9","9","1","6.753854","0","9"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","92","98","1","101.134819","0","98"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","60","63","1","0.000000","0","63"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","5.678390","0","6"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","15.959591","0","12"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","1.610225","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","24","1","26.418909","0","24"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","1.354071","0","3"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","13.133882","0","12"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","3","1","1.553077","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","25","25","1","15.318801","0","25"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","54","58","1","91.679840","0","58"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","80","84","1","124.396370","0","84"
"/Engine/MapTemplates/Materials/BasicAsset03.BasicAsset03","0","21","21","1","21.795418","0","21"
"/Game/AdvancedLocomotionV4/CharacterAssets/Zombie_Character/Materials/M_Mannequin_Zombie_VertexColor.M_Mannequin_Zombie_VertexColor","0","36","36","1","42.504517","0","36"
"/Game/LevelPrototyping/Materials/M_Grid.M_Grid","0","42","42","2","59.737808","0","42"
"/InterchangeAssets/gltf/M_Default.M_Default","0","361","388","6","1148.142090","0","388"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","45","45","1","50.796646","0","45"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","45","45","1","47.600437","0","45"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","66","66","1","25.597242","0","66"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","24","1","26.442122","0","24"
